title,company,description,location,source_url
ML Engineer,TechNova BD,We are looking for a Machine Learning Engineer to build and deploy intelligent systems using neural networks and language models. Strong Python skills required. Experience with PyTorch or TensorFlow is a big plus. Familiarity with SQL for data pipelines. Docker experience preferred for deployment.,Dhaka,
Junior .NET Developer,Bright Software Ltd,Looking for a Junior .NET Developer to work on ASP.NET Core web applications. Must know C# and SQL. Experience with Azure cloud services is a plus. Great opportunity for CSE graduates to start their career.,Dhaka,
NLP Engineer,LinguaTech,"Join our NLP team building chatbots and text classification systems using natural language processing techniques. Required: Python, experience with large language models, familiarity with PyTorch. Bonus: exposure to computer vision projects.",Remote,
Backend Software Engineer,CloudWorks BD,"We need a backend engineer comfortable with REST APIs, microservices architecture, and PostgreSQL. Experience with Docker and Kubernetes for deployment is required. Node.js or Python background welcome.",Dhaka,
Data Analyst,Insight Analytics,"Seeking a Data Analyst skilled in SQL, pandas, and data visualization tools like Power BI or Tableau. Statistics background preferred. Fresh graduates encouraged to apply.",Dhaka,
Full Stack Developer,WebCraft Studio,Full stack role building products with React on the frontend and Node.js and Express.js on the backend. MongoDB experience helpful. Familiarity with Git and agile workflows expected.,Dhaka,
DevOps Engineer,InfraCore Ltd,"DevOps engineer to manage CI/CD pipelines, Docker containers, and Kubernetes clusters on AWS. Linux administration experience required. Scripting in Python or Go a plus.",Remote,
Senior Machine Learning Engineer,DeepCore AI,Senior ML engineer to lead development of deep learning models for computer vision and NLP applications. 5+ years experience with PyTorch or TensorFlow required. Strong system design skills expected. Mentoring junior engineers is part of the role.,Dhaka,
Frontend Developer (React),PixelForge,React developer needed to build responsive web interfaces. Experience with TypeScript and Next.js preferred. Should be comfortable with REST API integration and Git-based workflows.,Dhaka,
Software QA Engineer,QualityFirst BD,QA engineer responsible for test automation using pytest or JUnit. Experience with CI/CD pipelines and agile scrum teams required. SQL knowledge for data validation is a plus.,Dhaka,
Research Assistant - AI Lab,University Research Center,Research assistant position supporting faculty working on natural language processing and machine learning research. Strong Python and statistics background required. Prior research experience or publications a plus.,Dhaka,
Cloud Solutions Engineer,SkyStack Bangladesh,"Cloud engineer to design and deploy solutions on AWS or Azure. Experience with Kubernetes, Docker, and infrastructure as code required. Strong Linux fundamentals expected.",Dhaka,
Data Engineer,PipelineWorks,Data engineer to build ETL pipelines using Python and SQL. Experience with PostgreSQL and cloud data warehouses required. Familiarity with Airflow or similar orchestration tools a plus.,Remote,
Intern - Software Development,StartupHub BD,"Software development internship for CSE students. Basic knowledge of Python or Java required. Great opportunity to learn Git, agile practices, and REST API development under mentorship.",Dhaka,
Backend Developer - Fintech,FinLedger BD,Backend developer for a fintech product built on Django and PostgreSQL. Experience with REST APIs and testing required. Familiarity with Docker for local development preferred.,Dhaka,
Computer Vision Engineer,VisionTech Labs,"Computer vision engineer to develop image recognition systems using deep learning. Required: Python, PyTorch or TensorFlow. Familiarity with cloud deployment on AWS or GCP is a plus.",Dhaka,
